Order of Appearance,Variable Name,Variable Label,Answer Label,Transformations,Ideas
310,pri_funding_salary_3,Learnership programme,,Nothing,
311,pri_funding_salary_4,YES Initiative,,Nothing,
312,pri_funding_salary_97,Other,,Nothing,
313,pri_funding_salary_0,None,,Nothing,
314,pri_funding_food,Does any other organisation contribute to the meals or snacks that is provide...,,,
315,pri_funding_salaryother,What OTHER organisation contributes to the salaries/stipends of your staff?,Open ended,Drop,Clean up before using
316,pri_fees_amount_0_1,What is the maximum amount per child per month that parents pay for children aged 0-1 years?,Open ended,Nothing,
317,pri_fees_amount_2_3,What is the maximum amount per child per month that parents pay for children aged 2-3 years?,Open ended,Nothing,
318,pri_fees_exceptions_other,What are the other exceptions to the fees amount for certain groups of children?,Open ended,Drop,Clean up before using
319,pri_expense_food,What is the amount per month that the Programme spends on the following items?: Food,Open ended,Nothing,
320,pri_expense_staff,What is the amount per month that the Programme spends on the following items? Salaries/stipends,Open ended,Nothing,
321,pri_expense_rent,What is the amount per month that the Programme spends on the following items? Rent,Open ended,Nothing,
322,pri_expense_materials,What is the amount per month that the Programme spends on the following items?Child and Practitioner Support Materials,Open ended,Nothing,
323,pri_expense_maintenance,"What is the amount per month that the Programme spends on the following items? Lighting, heating, cooking, water, sanitation, maintenance and building costs",Open ended,Nothing,
324,pri_expense_admin,"What is the amount per month that the Programme spends on the following items?Administration, safety and security",Open ended,Nothing,
325,pri_expense_other,What is the amount per month that the Programme spends on the following items? Other Expenses,Open ended,Nothing,
326,pri_expenseother,What are the other expenses the Programme spends money on?,Open ended,Drop,Clean up before using
327,pri_covid_fund_applied,Have you applied for the DSD Covid Support Fund?,,Nothing,
328,pri_covid_fund_received,Have you received support from the DSD Covid Support Fund?,,Nothing,
329,pri_clinic_time,How many minutes does it take you to get to the nearest clinic by transport?,Open ended,Nothing,
330,pri_clinic_travel,How do you usually travel to the nearest clinic?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
331,pri_clinic_travel_1,Own vehicle,,Nothing,
332,pri_clinic_travel_2,Friend/family's vehicle,,Nothing,
333,pri_clinic_travel_3,Public transport,,Nothing,
334,pri_clinic_travel_4,On foot,,Nothing,
335,pri_clinic_travel_5,Bicycle,,Nothing,
336,pri_clinic_travel_97,Other,,Nothing,
337,pri_health_1,Vision screening,,Nothing,Could create group categorical like other questions like this
338,pri_health_2,Hearing screening,,Nothing,
339,pri_health_3,Developmental screening,,Nothing,
340,pri_health_4,Immunisations,,Nothing,
341,pri_health_5,Deworming,,Nothing,
342,pri_health_97,Other,,Nothing,
343,pri_health_0,None of these,,Nothing,
344,pri_clinic_travelother,How do you usually travel to the nearest clinic? (Other),Open ended,Drop,Clean up before using
345,pri_covid_awareness,What COVID-19 related awareness activities do you do?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
346,pri_covid_awareness_1,"Personal hygiene education for children (e.g., washing hands, not touching face,",,Nothing,
347,pri_covid_awareness_2,Social distancing training for children and staff,,Nothing,
348,pri_covid_awareness_3,Training of staff re screening and cleaning protocols,,Nothing,
349,pri_covid_awareness_4,"Communications with caregivers/parents re precautions, school protocols",,Nothing,
350,pri_covid_awareness_97,Other,,Nothing,
351,pri_covid_precautions,What COVID-19 precautions do you use to screen and prevent infection?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
352,pri_covid_precautions_1,Fever/symptoms check on arrival,,Nothing,
353,pri_covid_precautions_2,Sanitising equipment/materials,,Nothing,
354,pri_covid_precautions_3,Frequent hand washing in clean water with soap and no towels,,Nothing,
355,pri_covid_precautions_4,Taking care with tooth brushes (not touching where stored/correctly labelled),,Nothing,
356,pri_covid_precautions_5,Organizing classroom/playground set-up so as to maximize social distancing whene,,Nothing,
357,pri_covid_precautions_6,Staggering pick up/drop-off/nap times,,Nothing,
358,pri_covid_precautions_97,Other,,Nothing,
359,pri_covid_awareness_other,What otherCOVID-19 related awareness activities do you do?,Open ended,Drop,Clean up before using
360,pri_covid_precautions_other,What other COVID-19 precautions do you use to screen and prevent infection?,Open ended,Drop,Clean up before using
361,pri_food_parents_breakfast,Breakfast,,Convert to Ordinal,Maybe try aggregating like the other categorical question groups
362,pri_food_parents_morning,Morning snack,,Convert to Ordinal,Maybe try aggregating like the other categorical question groups
363,pri_food_parents_lunch,Lunch,,Convert to Ordinal,Maybe try aggregating like the other categorical question groups
364,pri_food_parents_afternoon,Afternoon snack,,Convert to Ordinal,Maybe try aggregating like the other categorical question groups
365,pri_food_guidance,Does the programme provide any guidance on the kind of food that parents send?,,Nothing,
366,pri_food_type,Which of the following food types are provided on the day of the baseline assessments?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
367,pri_food_type_1,"Carbohydrates (e.g. bread, rice, samp, potatoes, etc)",,Nothing,
368,pri_food_type_2,"Proteins (e.g. milk, meat, fish, eggs, soy, beans, lentils, etc)",,Nothing,
369,pri_food_type_3,"Fruits (e.g. apples, oranges, bananas, etc)",,Nothing,
370,pri_food_type_4,"Vegetables (e.g. beans, peas, carrots, cabbage, etc)",,Nothing,
371,pri_food_type_5,Fresh or vitamin-enriched juice/ Vitamin drink,,Nothing,
372,pri_food_type_0,None of these,,Nothing,
373,pri_food_donation,Does the Programme receive food donations?,,Nothing,
374,pri_food_donor,From whom does the programme receive the food donations?,Open ended,Nothing,
375,pri_food_donorother,From whom else does the programme receive food donations?,Open ended,Drop,Clean up before using
376,pri_refrigerator,Does the Programme have refrigeration facilities?,,Nothing,
377,pri_garden,Is there a food garden at the Programme?,,Nothing,
378,pri_meal_prep,Who is responsible for preparing the meals?,,Nothing,
379,pri_parents_frequency,How often do you meet with parents to discuss their child’s progress?,,Convert to Ordinal,
380,pri_parents_contact,"In the last 3 months, have any parents or caregivers contacted you to discuss their child?",,Convert to Ordinal,
381,pri_parents_activities,"In the last 3 months, have any parents or caregivers asked you about activities they can do with their children at home?",,Convert to Ordinal,
382,pri_records,Do you keep records of the following?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
383,pri_records_1,Children’s home background details,,Nothing,
384,pri_records_2,Children’s grant information,,Nothing,
385,pri_records_3,Children’s road to health booklets/ immunisation schedules,,Nothing,
386,pri_records_4,Attendance records,,Nothing,
387,pri_records_5,Child progress reports,,Nothing,
388,pri_records_0,None of these,,Nothing,
389,pri_support,Have you received any on-site support on what daily activities/ games/ routin...,,Nothing,
390,pri_support_provider,Who provided you with the support?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
391,pri_support_provider_1,The principal/other practitioners at your Programme,,Nothing,
392,pri_support_provider_2,District DBE officials,,Nothing,
393,pri_support_provider_3,ECD Forum,,Nothing,
394,pri_support_provider_4,NGO,,Nothing,
395,pri_support_provider_5,A training organisation,,Nothing,
396,pri_support_provider_97,Other,,Nothing,
397,pri_support_providerother,Who provided you with the support? (Other),Open ended,Drop,Clean up before using
398,pri_support_frequency,How often do you receive on-site support?,,Convert to Ordinal,
399,pri_fees_amount_4_6,What is the maximum amount per child per month that parents pay for children aged 4-6 years?,Open ended,Nothing,
400,pri_internet_user,Is there internet available for the following?:,Open ended,Nothing,
401,pri_fees_amount_pv,Facility monthly fee (present value),,Nothing,
402,pri_funding_subsidy,"Receives govt subsidy (DBE, DSD / DOH)",Open ended,Nothing,
403,pri_meals,Does the Programme provide meals/snacks for the children?,,Nothing,
404,pri_languages,Main language(s) of learning and teaching?,,Nothing,
405,teacher_social_peers,Does the child work well with peers (can wait for their turn/manage impulsivi...,,Convert to Ordinal,
406,teacher_social_nonaggressive,Does the child resolve problems with peers without becoming aggressive?,,Convert to Ordinal,
407,teacher_social_cooperate,Does the child cooperate with peers without prompting?,,Convert to Ordinal,
408,teacher_social_assistance,Does the child seek out assistance or support from familiar adults?,,Convert to Ordinal,
409,teacher_social_ideas,Does the child seek a familiar adults ideas or explanations about events or e...,,Convert to Ordinal,
410,teacher_social_initiative,Does the child take initiative in creating cooperative activities with a fami...,,Convert to Ordinal,
411,teacher_emotional_understand,Is it easy to understand what the child is saying?,,Convert to Ordinal,
412,teacher_emotional_appropriate,Does the child express needs and feelings appropriately?,,Convert to Ordinal,
413,teacher_emotional_independent,"Is the child independent, does the child like to do things without help?",,Convert to Ordinal,
414,teacher_emotional_adjust,Does the child adjust well to changes in the classroom or home routine?,,Convert to Ordinal,
415,teacher_emotional_confidence,"Does the child approach new experiences confidently, without fear?",,Convert to Ordinal,
416,teacher_emotional_selfstarter,Is the child a self starter?,,Convert to Ordinal,
417,teacher_duration,Teacher SEF duration in minutes,Open ended,Nothing,
418,teacher_social_total,Total: Teacher social rating,Open ended,Nothing,
419,teacher_selfcare_total,Total: Teacher self-care rating,Open ended,Nothing,
420,teacher_social_met,Social relations with peers and adults,,Convert to Ordinal,
421,teacher_emotional_total,Total: Teacher Emotional,Open ended,Nothing,
422,teacher_emotional_met,Emotional Readiness for School,,Convert to Ordinal,
423,teacher_selfcare_met,Category for self-care,,Convert to Ordinal,
424,hle_ecd_other,Description of Other means.,Open ended,Drop,Clean up before using
425,hle_ind,Data Indicator: HLE interview variables available,,Nothing,
426,obs_firstaid,Has the appointed first aid officer received first aid training?,,Nothing,
427,obs_classrooms,How many classrooms are there?,Open ended,Nothing,
428,obs_space,Is the indoor play areas floor space large enough for children to safely move...,,Nothing,
429,obs_area,Can you identify themed areas at the ECD Programme? Which ones?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
430,obs_area_1,"Art (draw, paint, cut, model etc)",,Nothing,
431,obs_area_2,Big blocks,,Nothing,
432,obs_area_3,"Fantasy ( house + shop, clinic etc)",,Nothing,
433,obs_area_4,Educational toys and games,,Nothing,
434,obs_area_5,Maths area,,Nothing,
435,obs_area_6,Writing area,,Nothing,
436,obs_area_7,Nature/science/theme tables,,Nothing,
437,obs_area_8,Water and sand,,Nothing,
438,obs_area_0,None of these,,Nothing,
439,obs_materials,Which of these materials are available to the children?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
440,obs_materials_1,"Children's books, Storybooks, any books with text or pictures, including books made by an ECD practitioner",,Nothing,
441,obs_materials_2,"Puzzles, Games with numbers or shapes",,Nothing,
442,obs_materials_3,Wooden or plastic blocks children can play with (not LEGO or similar brands),,Nothing,
443,obs_materials_4,LEGO or similar brands (blocks and pieces that fit into each other and be taken,,Nothing,
444,obs_materials_5,"Picture cards, posters, charts",,Nothing,
445,obs_materials_6,"Paint, Crayons, Chalk",,Nothing,
446,obs_materials_7,"Pencils, pens",,Nothing,
447,obs_materials_8,"Glue, Paper, Scissors (for children), Tape",,Nothing,
448,obs_materials_9,"Clay, Play dough",,Nothing,
449,obs_materials_10,"Dolls, Stuffed animals, Toy cars, Toys from recycled materials",,Nothing,
450,obs_materials_11,Toys from recycled materials,,Nothing,
451,obs_materials_12,"Dress up clothes, Masks, Pretend food, pots and pans",,Nothing,
452,obs_materials_13,"Any materials for counting, e.g. bottle caps, dice, beads, rocks etc or Abacus",,Nothing,
453,obs_materials_14,"Balls, Hula-hoops, Sandbags",,Nothing,
454,obs_materials_15,"Buckets, Spades, Sand moulds",,Nothing,
455,obs_materials_16,"Skipping ropes, Scooters",,Nothing,
456,obs_materials_17,"Chairs, desks or tables for children",,Nothing,
457,obs_materials_18,"Carpets to play on, Sleeping mats",,Nothing,
458,obs_materials_19,Theme tables,,Nothing,
459,obs_materials_20,"Drums, triangles, cymbals, maracas, bells, shakers, tambourines",,Nothing,
460,obs_materials_97,Other,,Nothing,
461,obs_materials_0,None of these,,Nothing,
462,obs_materialsother,What other materials are available to the children?,Open ended,Drop,Clean up before using
463,obs_accessible,Are the materials on offer generally accessible to the children?,,,
464,obs_books,Are there at least 10 children’s books available for children to play with?,,Nothing,
465,obs_books_age,Are there age-appropriate books for different age groups?,,Nothing,
466,obs_heating_census,What is the main source of power and energy for heating?,,Nothing,
467,obs_lighting_census,What is the main source of power and energy for lighting?,,Nothing,
468,obs_cooking_census,What is the main source of power and energy for cooking?,,Nothing,
469,obs_water,What is the main source of water?,,Convert to Ordinal,
470,obs_waterother,What is the main source of water? (Other),Open ended,Drop,Clean up before using
471,obs_potable,Is the water drinkable?,,Nothing,
472,obs_handwashing,What is the handwashing facility in use at this ECD Programme?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
473,obs_handwashing_1,Tap,,Nothing,
474,obs_handwashing_2,Tippy-tap,,Nothing,
475,obs_handwashing_3,Bowl/Bucket,,Nothing,
476,obs_handwashing_0,None,,Nothing,
477,obs_handwashing_97,Other,,Nothing,
478,obs_toilet,What are the types of toilet in use at this ECD Programme?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
479,obs_toilet_1,Flush toilet (connected to sewage systems),,Nothing,
480,obs_toilet_2,Flush toilet (with septic tank),,Nothing,
481,obs_toilet_3,Chemical toilet,,Nothing,
482,obs_toilet_4,"Pit latrine, with ventilation (VIP)",,Nothing,
483,obs_toilet_5,Pit latrine without ventilation,,Nothing,
484,obs_toilet_6,Bucket latrine,,Nothing,
485,obs_toilet_7,Potties,,Nothing,
486,obs_toilet_8,Toilets for people with disabilities,,Nothing,
487,obs_toilet_0,None,,Nothing,
488,obs_toilet_97,Other,,Nothing,
489,obs_toilets_children,Are there separate toilet facilities for staff and learners?,,Nothing,
490,obs_toilets_gender,Are there separate toilet facilities for girls and boys?,,Nothing,
491,obs_building,In what type of building does the ECD Programme operate?,,Convert to Ordinal,
492,obs_shared,Is the building being used only for this ECD programme or for other activities?,,Nothing,
493,obs_outdoor,Is there an outdoor play area?,,Nothing,
494,obs_equipment,What outside playground equipment does the centre have?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
495,obs_equipment_0,None,,Nothing,
496,obs_equipment_1,Jungle gym,,Nothing,
497,obs_equipment_2,Swings,,Nothing,
498,obs_equipment_3,Slide,,Nothing,
499,obs_equipment_4,Sand tray/pit,,Nothing,
500,obs_equipment_5,Seesaw swing,,Nothing,
501,obs_equipment__1,Don't know,,Nothing,
502,obs_condition_equipment,What condition is the outside playground equipment in?,,Convert to Ordinal,
503,obs_fence,Is there a fence or around the premises used by the ECD Programme?,,Nothing,
504,obs_gate,Is there a lockable gate to prevent unauthorised access to the premises used ...,,Nothing,
505,obs_access,Is there someone checking who enters and leaves the facility?,,Nothing,
506,obs_date,Date,Open ended,Convert to Date,Try it represented in unixtime
507,obs_water_running,Is there running water in the facility on the day of the visit?,,,
508,obs_water_running_none,Why is there no running water?,Open ended,Drop,Clean up before using
509,obs_handwashingother,What is the handwashing facility in use at this ECD Programme? (Other),Open ended,Drop,Clean up before using
510,obs_handwashing_friendly,Are the handwashing facilities child friendly?,,Nothing,
511,obs_toilet_clean,Are the toilets clean and safe for children to use?,,Nothing,
512,obs_toilet_paper,Is toilet paper available in the toilets?,,Nothing,
513,obs_heating,What is the main source of power and energy for heating?,,Nothing,Potentially use this instead of census or mix the two to create one more complete field
514,obs_lighting,What is the main source of power and energy for lighting?,,Nothing,Potentially use this instead of census or mix the two to create one more complete field
515,obs_cooking,What is the main source of power and energy for cooking?,,Nothing,Potentially use this instead of census or mix the two to create one more complete field
516,obs_electricity_working,Is there working electricity in the facility on the day of the visit?,,Nothing,
517,obs_access_disability_1,Ramp for wheelchair,,Nothing,
518,obs_access_disability_2,Handrails,,Nothing,
519,obs_access_disability_3,Suitable toilet / ablution facility,,Nothing,
520,obs_access_disability_4,Passages are clear,,Nothing,
521,obs_access_disability_5,Classrooms are accessible,,Nothing,
522,obs_access_disability_6,Class rooms are light enough for visually impaired children,,Nothing,
523,obs_access_disability_0,None of these,,Nothing,
524,obs_safety,Are the following health and safety practices put in place?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
525,obs_safety_1,Exit or evacuation plan visibly displayed,,Nothing,
526,obs_safety_2,Adequately resourced first aid kit,,Nothing,
527,obs_safety_3,Appointed first aid officer,,Nothing,
528,obs_safety_4,Fire extinguishers/sand buckets/fire blankets,,Nothing,
529,obs_safety_5,Fire extinguishers up to date (not expired),,Nothing,
530,obs_safety_6,Accident/injury file,,Nothing,
531,obs_safety_7,"Displayed contact list of emergency services?(police, ambulance etc.)",,Nothing,
532,obs_safety_8,Area for food preparation separate and away from the children,,Nothing,
533,obs_safety_9,Safe and enclosed refuse area,,Nothing,
534,obs_safety_10,Harmful substances locked away at all times,,Nothing,
535,obs_safety_0,None of these,,Nothing,
536,obs_menu_display,Is there menu that is displayed somewhere in the facility?,,Nothing,
537,obs_menu_compliance,Does the menu comply with the Department of Health Guidelines?,,Nothing,
538,obs_menu_same,Is the food provided on the day of the visit the same as on the menu?,,Nothing,
539,obs_material_display,Are there learning and teaching support materials displayed against the walls?,,Convert to Ordinal,
540,obs_hazard,Are any of these safety hazards observed?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
541,obs_hazard_1,Broken or uneven floors,,Nothing,
542,obs_hazard_2,Broken chairs or tables,,Nothing,
543,obs_hazard_3,Sharp or rusting play materials,,Nothing,
544,obs_hazard_4,A leaking roof or holes in the ceiling,,Nothing,
545,obs_hazard_5,Broken windows or doors,,Nothing,
546,obs_hazard_6,Open pits/ holes,,Nothing,
547,obs_hazard_7,Rocky/ littered playground,,Nothing,
548,obs_hazard_8,Exposed electrical cables/ wiring,,Nothing,
549,obs_hazard_97,Other conditions likely to cause injury to children,,Nothing,
550,obs_hazard_0,None of these,,Nothing,
551,obs_fencing_play_area,Does the outside play area have a fence around?,,Nothing,
552,id_ward,Ward : Best ID (geo data),Open ended,Convert to Categorical,
553,id_prov,Province : Best ID (geo data),Open ended,Nothing,
554,count_register_all,How many children are registered with the ECD Programme?,Open ended,Nothing,
555,count_staff_all,How many staff does this ECD Programme have?,Open ended,Nothing,
556,count_children_present,How many children are present at the ECD Programme today?,Open ended,Nothing,
557,count_children_attendance,"How many children usually attend the ECD Programme, on average?",Open ended,Nothing,
558,count_children_precovid,"How many children usually attended the ECD programme before the start of COVID on average""",Open ended,Nothing,
559,gps,Is the indoor play areas floor space large enough for children to safely move around?,Open ended,Drop,Use latitude and longitude fields instead
560,latitude,Latitude,Open ended,Nothing,
561,longitude,Longitude,Open ended,Nothing,
562,count_register_gender_female,Female,Open ended,Nothing,
563,count_register_gender_male,Male,Open ended,Nothing,
564,count_register_gender_other,Other,Open ended,Nothing,
565,count_register_gender,Count Register Gender,Open ended,Nothing,
566,count_register_year_2021,2021,Open ended,Nothing,
567,count_register_year_2020,2020,Open ended,Nothing,
568,count_register_year_2019,2019,Open ended,Nothing,
569,count_register_year_2018,2018,Open ended,Nothing,
570,count_register_year_2017,2017,Open ended,Nothing,
571,count_register_year_2016,2016,Open ended,Nothing,
572,count_register_year_2015,2015,Open ended,Nothing,
573,count_register_year_2014,2014,Open ended,Nothing,
574,count_register_year_2013,2013,Open ended,Nothing,
575,count_register_year_school,Count Register Year School Age,Open ended,Nothing,
576,count_register_year_grader,Count Register Year Grade R,Open ended,Nothing,
577,grade_r,There are at least ${count_register_year_grader} children who are old enough (born before 2018) to attend Grade R. Does the ECD Programme have CAPS Grade R curriculum (2021) materials for these children?,,Convert to Ordinal,
578,count_register_race_african,African/Black,Open ended,Nothing,
579,count_register_race_coloured,Coloured,Open ended,Nothing,
580,count_register_race_indian,Indian/Asian,Open ended,Nothing,
581,count_register_race_white,White,Open ended,Nothing,
582,count_register_race_other,Other,Open ended,Nothing,
583,count_register_race,Count Register Race,Open ended,Nothing,
584,count_staff_salary_paid,How many of the staff worked for pay at this ECD programme...,Open ended,Nothing,
585,count_staff_salary_unpaid,How many of the staff worked at this ECD programme last mo...,Open ended,Nothing,
586,count_staff_salary,Count Staff Salary,Open ended,Nothing,
587,count_staff_gender_female,Female,Open ended,Nothing,
588,count_staff_gender_male,Male,Open ended,Nothing,
589,count_staff_gender_other,Other,Open ended,Nothing,
590,count_staff_gender,Count Staff Gender,Open ended,Nothing,
591,count_staff_contract,Count Staff Contract,Open ended,Nothing,
592,count_staff_time_full,Full-time,Open ended,Nothing,
593,count_staff_time,Count Staff Time,Open ended,Nothing,
594,professionals_practitioners,Do at least some of the ${count_staff_managers} managerial staff also work as ECD practitioners?,,Nothing,
595,count_staff_qual_skills,Accredited skills programme,Open ended,Nothing,
596,count_staff_qual_nqf4_5,NQF Level 4-5: ECD,Open ended,Nothing,
597,count_staff_qual_nqf6_9,NQF Level 6-9: ECD,Open ended,Nothing,
598,certificate_registration_partial,DSD partial care registration,,Convert to Ordinal,
599,certificate_registration_program,DSD ECD programme registration,,Convert to Ordinal,
600,certificate_registration_npo,NPO registration,,Convert to Ordinal,
601,certificate_register,First page of the ECD programmes register,,Convert to Ordinal,
602,count_toilets_children,How many childrens toilets are there?,Open ended,Nothing,
603,count_toilets_adults,How many adults toilets are there?,Open ended,Nothing,
604,census,Census data merged,,Nothing,
605,urban,Urban Rural,,Convert to Ordinal,
606,id_team,ID Team,Open ended,Convert to Categorical,
607,phase_natemis,Phase of nearest registered school,Open ended,Nothing,
608,quintile,DBE school Quintile (school or nearest school),Open ended,Nothing,
609,obs_access_disability,Does the facility provide the following support to children living with physi...,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
610,opening_hours,Opening Hours,Open ended,Nothing,
611,count_register_foreign,Foreign Nationals,Open ended,Nothing,
612,count_present_girls,How many girls are present on the day of the baseline assessment?,Open ended,Nothing,
613,count_present_boys,How many boys are present on the day of the baseline assessment?,Open ended,Nothing,
614,count_staff_contract_permanent,Permanent,Open ended,Nothing,
615,count_staff_contract_temporary,Temporary,Open ended,Nothing,
616,count_staff_contract_substitute,Substitutes,Open ended,Nothing,
617,count_staff_time_part,Part-time,Open ended,Nothing,
618,count_staff_paid_practitioners,Practitioners,Open ended,Nothing,
619,count_staff_paid_assistants,Assistant practitioners,Open ended,Nothing,
620,count_staff_paid_cooks,Cooks,Open ended,Nothing,
621,count_staff_paid_maintenance,Gardening and maintenance,Open ended,Nothing,
622,count_staff_paid_managers,Managers,Open ended,Nothing,
623,count_staff_paid_support,Support Staff,Open ended,Nothing,
624,count_staff_paid,Paid Staff,Open ended,Nothing,
625,count_practitioners_all,Total Practitioners,Open ended,Nothing,
626,count_practitioners_age_0,0-11 months,Open ended,Nothing,
627,count_practitioners_age_1,1 year olds,Open ended,Nothing,
628,count_practitioners_age_2,2 year olds,Open ended,Nothing,
629,count_practitioners_age_3,3 year olds,Open ended,Nothing,
630,count_practitioners_age_4,4 year olds,Open ended,Nothing,
631,count_practitioners_age_5,5 year olds,Open ended,Nothing,
632,count_practitioners_age_6,6 year olds,Open ended,Nothing,
633,health,"In 2019, have any Community Health Workers/ Nurses/Department of Health offic...",Open ended,Nothing,
634,healthother,What else did the Community Health Workers/ Nurses/Department of Health offic...,Open ended,Drop,Clean up before using
635,practitioner,Is this the same practitioner whose class was assessed?,,Nothing,
636,other_practitioner,Please explain why you are interviewing a different practitioner.,Open ended,Drop,Clean up before using
637,plan,Do you make use of an activity/lesson plan?,,Convert to Ordinal,
638,language_child,What language does the child usually speak at home?,Open ended,Nothing,
639,language_assessment,In what language are you conducting the assessment?,Open ended,Nothing,
640,facility_type,Type of facility,,Nothing,
641,sanitation_educators,What type of sanitation facilities are available on the school site for educators?,Open ended,Nothing,"Maybe try as categorical, seems similar to sanitation_learners which is"
642,sanitation_learners,What type of sanitation facilities are available on the school site for learners?,Open ended,Nothing,
643,positionother,What is your position in the school?,Open ended,Drop,Clean up before using
644,positionotherreason,"Please explain why you were not able to speak with the principal, deputy principal?",Open ended,Drop,Clean up before using
645,sef_ind,Data Indicator: Teacher SEF rating of child available,,Nothing,
646,language_match,Language of assessment is the same as home language,Open ended,Nothing,
647,elp_ind,Data Indicator:ELP characteristics variables available,,Nothing,
648,gps_ind,Data Indicator: Geolocation available,Open ended,Nothing,
649,pre_covid,"Pre-COVID indicator: ""Pre-COVID set before the 18th of March 2020""",Open ended,Nothing,
650,ses_proxy,SES proxy (using ELP fee and DBE quintile where missing),,Nothing,
651,quintile_used,DBE quintile used to proxy SES (ses_proxy),,Nothing,
652,id_facility_n,Number of children assessed in facility,,Nothing,
653,id_ward_n,Number of children assessed in ward,,Nothing,
654,id_mn_n,Number of children assessed in mn,,Nothing,
655,id_dc_n,Number of children assessed in dc,,Nothing,
656,id_prov_n,Number of children assessed in prov,,Nothing,
657,language_assessment_w2,Language of assessment,,Nothing,
658,ses_cat,Updated SES category,Open ended,Convert to Ordinal,
659,obs_lighting_1,lighting==None,,Nothing,"These columns are the transposed results of obs_heating,cooking,lighting."
660,obs_lighting_2,lighting==Electricity from mains,,Nothing,"Must test different methods before moving forward, try dropping obs_ categoricals and use these and vice-versa"
661,obs_lighting_3,lighting==Electricity from generator,,Nothing,
662,obs_lighting_4,lighting==Gas,,Nothing,
663,obs_lighting_5,lighting==Candles,,Nothing,
664,obs_lighting_6,lighting==Solar,,Nothing,
665,obs_lighting_8,lighting==Paraffin,,Nothing,
666,obs_cooking_1,cooking==None,,Nothing,
667,obs_cooking_2,cooking==Electricity from mains,,Nothing,
668,obs_cooking_3,cooking==Gas,,Nothing,
669,obs_cooking_4,cooking==Solar,,Nothing,
670,obs_cooking_5,cooking==Paraffin,,Nothing,
671,obs_cooking_6,cooking==Other,,Nothing,
672,obs_heating_1,heating==None,,Nothing,
673,obs_heating_2,heating==Electricity from mains,,Nothing,
674,obs_heating_3,heating==Electricity from generator,,Nothing,
675,obs_heating_4,heating==Gas,,Nothing,
676,obs_heating_5,heating==Solar,,Nothing,
677,obs_heating_6,heating==Paraffin,,Nothing,
678,obs_heating_7,heating==Other,,Nothing,
679,target,Total for Elom over all items,Open ended,Nothing,